单词,中文
wet,adj.湿的，未干的，有雨的
blanket,n.毯子
fireman,n.消防员
put out,扑灭
burn,vi.&vt.烧伤，烧
in hospital,住院
moment,n.时刻，片刻，瞬间
nod,vi.&vt.点头
careful,adj.仔细的,认真的,小心的
hurt,adj.受伤的
reporter,n.记者
news,n.新闻，消息
newspaper,n.报纸
match,n.火柴
rubbish,n.垃圾，废弃物
bin,n.垃圾箱
smoke,n.烟，烟雾
by the way,顺便问一下
camera,n.照相机
no problem,没问题
X-ray,n.X光，X射线
term,n.学期
hard,adv.努力地，费力地
article,n.文章
careless,adj.粗心的
do/try one's best,尽某热最大努力
piano,n.钢琴
do well in,在…做的好
better,adv.较好，更好
violin,n.小提琴
at the age of,在…岁时
show,vt.演示；展示
sir,n.先生
madam,n.女士；夫人
recommend,vt.推荐
award,n.奖；奖品；奖金
part,n.部分
take part in,参加
need,n.(食物,钱等的)短缺,缺乏
lose,vt.迷失，丢失
lose one's way,迷路
before,conj.到…为止；在…之前
hear from,收到…的来信
yours faithbully,(书信结尾签名前)您忠实的
pet,n.宠物
rude,adj.粗鲁的，不礼貌的
goldfish,n.金鱼
mouse,n.老鼠，耗子
parrot,n.鹦鹉
knee,n.膝,膝盖,大腿朝上的面
hold,vt.握住，拿
feed,vt.喂，喂养
teach,vt.教
poem,n.诗歌
wide,adv.充分地
hunt,vi.&vt.寻找，搜寻；打猎
hide,vi.&vt.藏，隐藏
build,vt.建造，建筑
camp,n.营地，阵营
stick,n.树枝，枝条；棍，棒
bark,vi.（狗）吠，叫
bite,vi.&vt.咬
fight,vi.&vt.与…打仗(架)
look after,照顾
till,prep.到…时，直到…为止
end,n.终止，末尾，终点
trouble,n.麻烦
bubble,vi.吐泡泡
gentle,adj.温柔的
touch,n.触摸，碰
rhyme,vi.押韵
care,n.照料，照顾
take care of,照顾
anywhere,adv.任何地方
repeat,vi.&vt.重复
all the time,一直，总是
agree,vi.&vt.同意;应允
keep,vt.养，饲养
weigh,linking v.重；有…重
gram,n.克
grow up,成长；长大成人
talk,n.讲座，演讲
noise,n.声音，响声；噪音
brush,vt.刷；擦
